날짜,메뉴,재료,공급업체,수량,단가,비고
2025-11-14,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-11-15,닭강정,비쉐프 만능강정소스(매콤달콤),동원홈푸드,10,6820,
2025-11-15,닭강정,액상유자,동원홈푸드,1,9460,
2025-11-15,떡볶이,쌀떡볶이,농민식품,2,8000,
2025-11-15,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-11-15,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-11-19,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-11-19,붕어빵,팥,황금잉어빵세종,1,8500,
2025-11-19,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-11-20,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-11-20,붕어빵,팥,황금잉어빵세종,1,8500,
2025-11-20,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-11-20,붕어빵,대봉투,황금잉어빵세종,2,2200,
2025-11-20,붕어빵,소봉투,황금잉어빵세종,2,2000,
2025-11-21,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-11-21,붕어빵,팥,황금잉어빵세종,1,8500,
2025-11-21,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-11-21,꼬치오뎅,상천어묵,미도어묵 대전지사,20,4700,
2025-11-21,꼬치오뎅,상천어묵_택배비,미도어묵 대전지사,1,4000,
2025-11-22,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-11-22,붕어빵,팥,황금잉어빵세종,1,8500,
2025-11-22,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-11-24,떡볶이,쌀떡볶이,농민식품,2,8000,
2025-11-24,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-11-24,붕어빵,팥,황금잉어빵세종,1,8500,
2025-11-24,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-11-25,닭강정,해바라기씨유,가보유통,2,48000,
2025-11-25,닭강정,폐유,가보유통,1,-23000,
2025-11-26,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-11-26,붕어빵,팥,황금잉어빵세종,1,8500,
2025-11-26,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-11-27,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-11-27,붕어빵,팥,황금잉어빵세종,1,8500,
2025-11-27,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-11-28,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-11-28,붕어빵,팥,황금잉어빵세종,1,8500,
2025-11-28,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-11-29,떡볶이,쌀떡볶이,농민식품,2,8000,
2025-11-29,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-11-29,붕어빵,팥,황금잉어빵세종,1,8500,
2025-11-29,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-12-01,닭강정,몬스터 강정파우더,소스몬스터,2,42500,
2025-12-01,떡볶이,떡볶이 소스,소스히어로,2,46000,
2025-12-01,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-01,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-01,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-12-01,붕어빵,대봉투,황금잉어빵세종,5,2200,
2025-12-01,붕어빵,소봉투,황금잉어빵세종,5,2000,
2025-12-02,닭강정,염지닭,현대에프씨,20,6500,
2025-12-02,닭강정,염지닭_택배비,현대에프씨,1,8000,
2025-12-02,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-03,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-03,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-03,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-04,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-04,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-04,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-05,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-12-05,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-06,떡볶이,밀떡볶이,밀앤스토리,20,1800,
2025-12-06,떡볶이,밀떡볶이_택배비,밀앤스토리,1,6000,
2025-12-06,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-12-06,붕어빵,팥,황금잉어빵세종,2,8500,
2025-12-08,떡볶이,비엔나소세지,유광식자재,2,6500,
2025-12-08,떡볶이,쌀떡볶이,농민식품,2,8000,
2025-12-08,붕어빵,LPG가스,시내가스,1,48000,
2025-12-08,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-12-08,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-08,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-12-09,닭강정,해바라기씨유,가보유통,2,48000,
2025-12-09,닭강정,폐유,가보유통,1,-17000,
2025-12-09,닭강정,염지닭,현대에프씨,20,6500,
2025-12-09,닭강정,염지닭_택배비,현대에프씨,1,8000,
2025-12-09,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-09,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-09,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-10,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-10,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-10,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-11,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-11,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-12,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-12-12,붕어빵,팥,황금잉어빵세종,1,8500,
